ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2022-LYGX6L,2022-07-27,08:41 น.,รอรับเรื่อง 865 วันที่แล้ว,เขตราษฎร์บูรณะ,เก้าอี้ป้ยรถเมล์พัง,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-27,08:41 น.,รอรับเรื่อง,866,866
2022-BBBZ36,2022-07-26,19:00 น.,รอรับเรื่อง 866 วันที่แล้ว,เขตราษฎร์บูรณะ,พื้นฟุตบาทชำรุดตลอดทางเดิน บริเวณริมถนนสุขสวัสดิ์,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-26,19:00 น.,รอรับเรื่อง,867,867
2022-C6BEFL,2022-07-26,16:12 น.,รอรับเรื่อง 866 วันที่แล้ว,เขตราษฎร์บูรณะ,ถนนชำรุดก่อนและหลังแยกไฟแดงวัดสน,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,2022-07-26,16:12 น.,รอรับเรื่อง,867,867
2022-AVKRUB,2022-07-25,20:57 น.,รอรับเรื่อง 867 วันที่แล้ว,เขตราษฎร์บูรณะ,1.เรื่องสะพานลอย บนถนนสุขสวัสดิ์ หน้าซอย รร.บางปะกอก ไม่มีหลังคาบังแดดบังฝน ทั้งๆที่เป็นสะพานลอยที่มี นักเรียนหรือประชาชนคนทั่วไปใช้งานอย่างมาก,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-25,20:57 น.,รอรับเรื่อง,868,868
2022-6HQP4Y,2022-07-23,06:57 น.,รอรับเรื่อง 870 วันที่แล้ว,เขตราษฎร์บูรณะ,ยืนรอรถอยู่ที่ป้ายรถเมล์แล้วป้ายหล่นลงมาค่ะ,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-23,06:57 น.,รอรับเรื่อง,870,870
2022-ALWNFR,2022-07-21,13:09 น.,รอรับเรื่อง 871 วันที่แล้ว,เขตราษฎร์บูรณะ,ป้ายรถโดยสารประจำทางตรงโรงพยาบาลบสงปะกอก1 ฝาท่องที่เป็นเหล็กช่วยทำให้ดีขึ้นหน่อย คนเดินลื่นล้มกันเยอะมาก,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-21,13:09 น.,รอรับเรื่อง,872,872
2022-KUVN2D,2022-07-19,16:58 น.,รอรับเรื่อง 873 วันที่แล้ว,เขตราษฎร์บูรณะ,เก้าอี้ บริเวณป้ายรถเมล์ชำรุด,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,2022-07-19,16:58 น.,รอรับเรื่อง,874,874
2022-AMY23B,2022-07-18,12:43 น.,รอรับเรื่อง 874 วันที่แล้ว,เขตราษฎร์บูรณะ,ซอยสุขสวัสดิ์ 30 ตรงบริเวณ ก๊วยเต๋ยวเป็ด เจ๊พิม,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",จุดเสี่ยง,รอรับเรื่อง,2022-07-18,12:43 น.,รอรับเรื่อง,875,875
2022-ALKZHP,2022-07-12,20:16 น.,รอรับเรื่อง 880 วันที่แล้ว,เขตราษฎร์บูรณะ,หน้าโลตัสบางปะกอก..ถนนสุขสวัสดิ์,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-12,20:16 น.,รอรับเรื่อง,881,881
2022-H2NKXT,2022-07-11,20:09 น.,รอรับเรื่อง 881 วันที่แล้ว,เขตราษฎร์บูรณะ,ไฟจราจรเลี้ยวขวา แยก ราษฎร์บูรณะดับครับ,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,2022-07-11,20:09 น.,รอรับเรื่อง,882,882
